Arxan	阿尔山
Baotou	包头
Bayannur	巴彦淖尔
Chifeng	赤峰
Erenhot	二连浩特
Fengzhen	丰镇
Ergun	额尔古纳
Genhe	根河
Hohhot	呼和浩特
Holingol	霍林郭勒
Hulunbuir	呼伦贝尔
Manzhouli	满洲里
Ordos	鄂尔多斯
Tongliao	通辽
Ulanhot	乌兰浩特
Ulanqab	乌兰察布
Wuhai	乌海
Xilinhot	锡林浩特
Yakeshi	牙克石
Zhalantun	扎兰屯
Changshu	常熟
Changzhou	常州
Dafeng	大丰
Danyang	丹阳
Dongtai	东台
Gaoyou	高邮
Haimen	海门
Huai'an	淮安
Jiangyin	江阴
Jingjiang	靖江
Jintan	金坛
Jurong	句容
Liyang	溧阳
Lianyungang	连云港
Kunshan	昆山
Nanjing	南京
Nantong	南通
Pizhou	邳州
Qidong	启东
Rugao	如皋
Suqian	宿迁
Suzhou	苏州
Taicang	太仓
Taizhou	泰州
Taixing	泰兴
Wuxi	无锡
Xinyi	新沂
Xinghua	兴化
Xuzhou	徐州
Yancheng	盐城
Yangzhong	扬中
Yangzhou	扬州
Yixing	宜兴
Yizheng	仪征
Zhangjiagang	张家港
Zhenjiang	镇江
Dexing	德兴
Fengcheng	丰城
Fuzhou	抚州
Ganzhou	赣州
Gao'an	高安
Guixi	贵溪
Ji'an	吉安
Jingdezhen	景德镇
Jinggangshan	井冈山
Jiujiang	九江
Leping	乐平
Nanchang	南昌
Pingxiang	萍乡
Ruichang	瑞昌
Ruijin	瑞金
Shangrao	上饶
Xinyu	新余
Yingtan	鹰潭
Yichun	宜春
Zhangshu	樟树
Baicheng	白城
Baishan	白山
Changchun	长春
Da'an	大安
Dehui	德惠
Dunhua	敦化
Fuyu	扶余
Gongzhuling	公主岭
Helong	和龙
Huadian	桦甸
Hunchun	珲春
Ji'an	集安
Jiaohe	蛟河
Jilin	吉林
Liaoyuan	辽源
Linjiang	临江
Longjing	龙井
Meihekou	梅河口
Panshi	磐石
Shuangliao	双辽
Shulan	舒兰
Siping	四平
Songyuan	松原
Taonan	洮南
Tonghua	通化
Tumen	图们
Yanji	延吉
Yushu	榆树
Anshan	鞍山
Benxi	本溪
Beipiao	北票
Beizhen	北镇
Chaoyang	朝阳
Dalian	大连
Dandong	丹东
Dashiqiao	大石桥
Dengta	灯塔
Diaobingshan	调兵山
Donggang	东港
Fengcheng	凤城
Fushun	抚顺
Fuxin	阜新
Gaizhou	盖州
Haicheng	海城
Huludao	葫芦岛
Jinzhou	锦州
Kaiyuan	开原
Liaoyang	辽阳
Linghai	凌海
Lingyuan	凌源
Panjin	盘锦
Pulandian	普兰店
